mode,workload,server_workers,bcdb_workers,pool_size,total_queries,wall_time_ms,tps,merkle_pass,divergence_count,permanent_failures,run_id,shared_buffers,source_fingerprint,trial
pg,ycsb_workload_d_skew_1_20_20k.txt,4,1,4,20000,744,26881.72,1,0,0,single_31a04bbb67da43b7bebe0614031683fe,32MB,bca6daed9b4548f4272d753402fd18992f457320befed0497d4cc835115221d0,1
bcdb_merkle,ycsb_workload_d_skew_1_20_20k.txt,4,4,4,20000,1226,16313.21,1,0,0,single_d2c3a2dd4d294afd842ad284ffff8491,32MB,bca6daed9b4548f4272d753402fd18992f457320befed0497d4cc835115221d0,1
