audit_merkle_root_hash_calls,audit_merkle_verify_calls,audit_mode,audit_user_table_seq_scan_delta,audit_validation_ms,audit_validation_positive,audit_validation_skipped,bad_leaf_count,bad_partition_count,batch_plan_actual_k_index_used,candidate_fetch_batches,candidate_fetch_sql_calls,candidate_leaf_buckets_requested,candidate_rows_fetched,candidate_rows_fetched_alias,child_hash_nodes_read,child_hash_sql_calls,cleanup_ms,confirmation_fetch_batches,confirmation_fetch_sql_calls,confirmation_leaf_buckets_requested,confirmation_rows_fetched,corrupted_tuple_count,corruption_mode,damaged_candidate_rows,end_to_end_covers_paper_and_audit,end_to_end_observed_ms,experiment,fanout,full_audit_skipped,healthy_candidate_rows,leaf_fetch_chunk_size,leaf_lookup_sql_calls,leaf_nodes_found,localisation_index_stats_available,localisation_index_stats_error,localisation_stats_flush_wait_ms,localisation_stats_probe_ms,manifest_sha256,mean_rows_per_bad_leaf,merge_threshold,method,p95_rows_per_bad_leaf,paper_end_before_audit_start,paper_style_total_ms,paper_total_ms,partition_root_batches,partition_root_batches_ok,partition_root_hash_sql_calls,partition_root_nodes_read,partition_subtree_nodes_read,partition_subtree_sql_calls,planner_checked_leaf_count,planner_checks_passed,profile_label,profiling_mode,recovery_only_ms,recovery_user_table_seq_scan_delta,repetition,restore_repair_ms,rows_deleted,rows_inserted,rows_updated,run_id,schema_fidelity_ok,selected_bad_leaf_row_capacity,split_threshold,targeted_confirmation_root_batches,targeted_confirmation_root_nodes_read,total_candidate_rows,total_ms,total_rows_repaired,tree_nodes_visited,tuple_count,valid,warning
0,0,skip,0,0.0,0,1,75,63,1,4,4,150,2150,2150,8832,4,1.732,0,0,0,0,300,mixed,1075,1,101.208,size-scaling-k75-c300,32,1,1075,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,475ca8a663943181efecf2b23444f1c1bb456fd43f0456a15598c4db0b9fed99,28.666666666666668,8,merkle,42.0,1,89.062,89.062,1,1,2,400,8832,4,75,1,fanout_f32_l16,off,89.062,0,0,89.062,100,100,100,size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r0,1,1075,32,1,126,2150,101.208,300,4416,3000000,1,
0,0,skip,0,0.0,0,1,75,63,1,4,4,150,2150,2150,8832,4,1.314,0,0,0,0,300,mixed,1075,1,85.331,size-scaling-k75-c300,32,1,1075,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,475ca8a663943181efecf2b23444f1c1bb456fd43f0456a15598c4db0b9fed99,28.666666666666668,8,merkle,42.0,1,83.758,83.758,1,1,2,400,8832,4,75,1,fanout_f32_l16,off,83.758,0,1,83.758,100,100,100,size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r1,1,1075,32,1,126,2150,85.331,300,4416,3000000,1,
0,0,skip,0,0.0,0,1,75,63,1,4,4,150,2150,2150,8832,4,1.293,0,0,0,0,300,mixed,1075,1,84.701,size-scaling-k75-c300,32,1,1075,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,475ca8a663943181efecf2b23444f1c1bb456fd43f0456a15598c4db0b9fed99,28.666666666666668,8,merkle,42.0,1,83.154,83.154,1,1,2,400,8832,4,75,1,fanout_f32_l16,off,83.154,0,2,83.154,100,100,100,size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r2,1,1075,32,1,126,2150,84.701,300,4416,3000000,1,
0,0,skip,0,0.0,0,1,75,63,1,4,4,150,2150,2150,8832,4,1.330,0,0,0,0,300,mixed,1075,1,85.369,size-scaling-k75-c300,32,1,1075,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,475ca8a663943181efecf2b23444f1c1bb456fd43f0456a15598c4db0b9fed99,28.666666666666668,8,merkle,42.0,1,83.786,83.786,1,1,2,400,8832,4,75,1,fanout_f32_l16,off,83.786,0,3,83.786,100,100,100,size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r3,1,1075,32,1,126,2150,85.369,300,4416,3000000,1,
0,0,skip,0,0.0,0,1,75,63,1,4,4,150,2150,2150,8832,4,1.340,0,0,0,0,300,mixed,1075,1,94.594,size-scaling-k75-c300,32,1,1075,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,475ca8a663943181efecf2b23444f1c1bb456fd43f0456a15598c4db0b9fed99,28.666666666666668,8,merkle,42.0,1,82.875,82.875,1,1,2,400,8832,4,75,1,fanout_f32_l16,off,82.875,0,4,82.875,100,100,100,size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r4,1,1075,32,1,126,2150,94.594,300,4416,3000000,1,
0,0,skip,0,0.0,0,1,75,63,1,4,4,150,2150,2150,8832,4,1.296,0,0,0,0,300,mixed,1075,1,84.616,size-scaling-k75-c300,32,1,1075,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,475ca8a663943181efecf2b23444f1c1bb456fd43f0456a15598c4db0b9fed99,28.666666666666668,8,merkle,42.0,1,83.063,83.063,1,1,2,400,8832,4,75,1,fanout_f32_l16,off,83.063,0,5,83.063,100,100,100,size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r5,1,1075,32,1,126,2150,84.616,300,4416,3000000,1,
0,0,skip,0,0.0,0,1,75,63,1,4,4,150,2150,2150,8832,4,1.298,0,0,0,0,300,mixed,1075,1,84.087,size-scaling-k75-c300,32,1,1075,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,475ca8a663943181efecf2b23444f1c1bb456fd43f0456a15598c4db0b9fed99,28.666666666666668,8,merkle,42.0,1,82.534,82.534,1,1,2,400,8832,4,75,1,fanout_f32_l16,off,82.534,0,6,82.534,100,100,100,size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r6,1,1075,32,1,126,2150,84.087,300,4416,3000000,1,
0,0,skip,0,0.0,0,1,75,63,1,4,4,150,2150,2150,8832,4,1.311,0,0,0,0,300,mixed,1075,1,85.095,size-scaling-k75-c300,32,1,1075,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,475ca8a663943181efecf2b23444f1c1bb456fd43f0456a15598c4db0b9fed99,28.666666666666668,8,merkle,42.0,1,83.524,83.524,1,1,2,400,8832,4,75,1,fanout_f32_l16,off,83.524,0,7,83.524,100,100,100,size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r7,1,1075,32,1,126,2150,85.095,300,4416,3000000,1,
0,0,skip,0,0.0,0,1,75,63,1,4,4,150,2150,2150,8832,4,1.299,0,0,0,0,300,mixed,1075,1,84.401,size-scaling-k75-c300,32,1,1075,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,475ca8a663943181efecf2b23444f1c1bb456fd43f0456a15598c4db0b9fed99,28.666666666666668,8,merkle,42.0,1,82.848,82.848,1,1,2,400,8832,4,75,1,fanout_f32_l16,off,82.848,0,8,82.848,100,100,100,size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r8,1,1075,32,1,126,2150,84.401,300,4416,3000000,1,
0,0,skip,0,0.0,0,1,75,63,1,4,4,150,2150,2150,8832,4,1.304,0,0,0,0,300,mixed,1075,1,95.846,size-scaling-k75-c300,32,1,1075,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,475ca8a663943181efecf2b23444f1c1bb456fd43f0456a15598c4db0b9fed99,28.666666666666668,8,merkle,42.0,1,94.280,94.280,1,1,2,400,8832,4,75,1,fanout_f32_l16,off,94.280,0,9,94.280,100,100,100,size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r9,1,1075,32,1,126,2150,95.846,300,4416,3000000,1,
