run_id,method,paper_style_total_ms,restore_repair_ms,audit_validation_ms,end_to_end_observed_ms,cleanup_ms,paper_end_before_audit_start,audit_validation_positive,end_to_end_covers_paper_and_audit,full_audit_skipped,audit_validation_skipped
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,199.928,199.928,0.000,213.818,3.116,1,0,1,1,1
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,219.482,219.482,0.000,223.163,3.090,1,0,1,1,1
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,219.581,219.581,0.000,233.552,3.150,1,0,1,1,1
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r3,merkle,224.228,224.228,0.000,227.870,3.049,1,0,1,1,1
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r4,merkle,223.990,223.990,0.000,237.896,3.145,1,0,1,1,1
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,225.840,225.840,0.000,229.540,3.102,1,0,1,1,1
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,230.348,230.348,0.000,244.288,3.150,1,0,1,1,1
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,227.741,227.741,0.000,231.369,3.032,1,0,1,1,1
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,223.648,223.648,0.000,237.540,3.113,1,0,1,1,1
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,223.606,223.606,0.000,227.485,3.343,1,0,1,1,1
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,109.644,109.644,0.000,111.239,1.329,1,0,1,1,1
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,109.841,109.841,0.000,111.435,1.325,1,0,1,1,1
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,126.891,126.891,0.000,128.471,1.303,1,0,1,1,1
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r3,merkle,111.566,111.566,0.000,113.137,1.305,1,0,1,1,1
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r4,merkle,110.073,110.073,0.000,111.665,1.330,1,0,1,1,1
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,109.585,109.585,0.000,121.358,1.361,1,0,1,1,1
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,111.235,111.235,0.000,112.820,1.319,1,0,1,1,1
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,110.053,110.053,0.000,111.637,1.317,1,0,1,1,1
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,117.004,117.004,0.000,118.623,1.350,1,0,1,1,1
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,125.104,125.104,0.000,126.707,1.326,1,0,1,1,1
size-scaling-k75-c300-n20000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,112.516,112.516,0.000,114.113,1.335,1,0,1,1,1
size-scaling-k75-c300-n20000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,111.482,111.482,0.000,113.057,1.312,1,0,1,1,1
size-scaling-k75-c300-n20000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,123.372,123.372,0.000,124.975,1.332,1,0,1,1,1
size-scaling-k75-c300-n20000000-f32-k75-c300-fanout_f32_l16-merkle-r3,merkle,112.777,112.777,0.000,114.358,1.314,1,0,1,1,1
size-scaling-k75-c300-n20000000-f32-k75-c300-fanout_f32_l16-merkle-r4,merkle,119.790,119.790,0.000,121.399,1.318,1,0,1,1,1
size-scaling-k75-c300-n20000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,113.157,113.157,0.000,125.127,1.553,1,0,1,1,1
size-scaling-k75-c300-n20000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,112.181,112.181,0.000,113.785,1.335,1,0,1,1,1
size-scaling-k75-c300-n20000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,112.856,112.856,0.000,114.445,1.321,1,0,1,1,1
size-scaling-k75-c300-n20000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,112.354,112.354,0.000,113.950,1.328,1,0,1,1,1
size-scaling-k75-c300-n20000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,122.219,122.219,0.000,123.792,1.302,1,0,1,1,1
size-scaling-k75-c300-n25000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,180.882,180.882,0.000,194.495,2.921,1,0,1,1,1
size-scaling-k75-c300-n25000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,220.843,220.843,0.000,224.500,3.049,1,0,1,1,1
size-scaling-k75-c300-n25000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,218.608,218.608,0.000,232.862,3.383,1,0,1,1,1
size-scaling-k75-c300-n25000000-f32-k75-c300-fanout_f32_l16-merkle-r3,merkle,224.120,224.120,0.000,227.789,3.064,1,0,1,1,1
size-scaling-k75-c300-n25000000-f32-k75-c300-fanout_f32_l16-merkle-r4,merkle,222.739,222.739,0.000,236.654,3.153,1,0,1,1,1
size-scaling-k75-c300-n25000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,222.938,222.938,0.000,226.624,3.086,1,0,1,1,1
size-scaling-k75-c300-n25000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,220.826,220.826,0.000,234.677,3.068,1,0,1,1,1
size-scaling-k75-c300-n25000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,214.802,214.802,0.000,218.569,3.079,1,0,1,1,1
size-scaling-k75-c300-n25000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,215.827,215.827,0.000,229.740,3.141,1,0,1,1,1
size-scaling-k75-c300-n25000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,227.779,227.779,0.000,231.493,3.094,1,0,1,1,1
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,110.482,110.482,0.000,112.084,1.327,1,0,1,1,1
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,117.498,117.498,0.000,129.317,1.375,1,0,1,1,1
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,111.765,111.765,0.000,113.345,1.311,1,0,1,1,1
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r3,merkle,111.008,111.008,0.000,112.596,1.318,1,0,1,1,1
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r4,merkle,111.825,111.825,0.000,113.444,1.348,1,0,1,1,1
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,120.793,120.793,0.000,122.376,1.313,1,0,1,1,1
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,109.636,109.636,0.000,111.256,1.353,1,0,1,1,1
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,110.260,110.260,0.000,111.829,1.294,1,0,1,1,1
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,109.878,109.878,0.000,121.640,1.371,1,0,1,1,1
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,118.013,118.013,0.000,119.643,1.338,1,0,1,1,1
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,113.936,113.936,0.000,115.543,1.328,1,0,1,1,1
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,113.596,113.596,0.000,125.416,1.418,1,0,1,1,1
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,116.646,116.646,0.000,118.221,1.297,1,0,1,1,1
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r3,merkle,114.199,114.199,0.000,115.789,1.315,1,0,1,1,1
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r4,merkle,113.559,113.559,0.000,115.136,1.306,1,0,1,1,1
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,125.938,125.938,0.000,127.564,1.356,1,0,1,1,1
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,113.794,113.794,0.000,115.406,1.338,1,0,1,1,1
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,122.158,122.158,0.000,123.786,1.335,1,0,1,1,1
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,113.966,113.966,0.000,125.851,1.489,1,0,1,1,1
size-scaling-k75-c300-n40000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,114.693,114.693,0.000,116.305,1.335,1,0,1,1,1
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,115.977,115.977,0.000,117.583,1.319,1,0,1,1,1
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,116.466,116.466,0.000,128.301,1.415,1,0,1,1,1
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,116.012,116.012,0.000,117.619,1.320,1,0,1,1,1
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r3,merkle,124.320,124.320,0.000,125.965,1.338,1,0,1,1,1
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r4,merkle,116.051,116.051,0.000,117.654,1.314,1,0,1,1,1
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,127.949,127.949,0.000,129.571,1.329,1,0,1,1,1
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,115.086,115.086,0.000,116.685,1.308,1,0,1,1,1
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,115.308,115.308,0.000,116.924,1.328,1,0,1,1,1
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,115.103,115.103,0.000,126.872,1.356,1,0,1,1,1
size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,115.286,115.286,0.000,116.894,1.314,1,0,1,1,1
