run_id,manifest_sha256,method,phase,ms
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r3,b29ff65fcdcd675ee36c819b35cb1226e963a12dfa47e707001db8ed030e45bb,merkle,repair_sql_building_ms,0.593
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r3,b29ff65fcdcd675ee36c819b35cb1226e963a12dfa47e707001db8ed030e45bb,merkle,repair_dml_wire_ms,17.177
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r3,b29ff65fcdcd675ee36c819b35cb1226e963a12dfa47e707001db8ed030e45bb,merkle,repair_commit_wire_ms,7.232
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r3,b29ff65fcdcd675ee36c819b35cb1226e963a12dfa47e707001db8ed030e45bb,merkle,repair_begin_wire_ms,0.151
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r3,b29ff65fcdcd675ee36c819b35cb1226e963a12dfa47e707001db8ed030e45bb,merkle,repair_transaction_block_ms,25.211
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r3,b29ff65fcdcd675ee36c819b35cb1226e963a12dfa47e707001db8ed030e45bb,merkle,repair_write_ms,25.215
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r3,b29ff65fcdcd675ee36c819b35cb1226e963a12dfa47e707001db8ed030e45bb,merkle,targeted_post_repair_confirmation_ms,3.265
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r3,b29ff65fcdcd675ee36c819b35cb1226e963a12dfa47e707001db8ed030e45bb,merkle,recovery_observability_ms,0.001
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r3,b29ff65fcdcd675ee36c819b35cb1226e963a12dfa47e707001db8ed030e45bb,merkle,recovery_orchestration_ms,2.228
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r3,b29ff65fcdcd675ee36c819b35cb1226e963a12dfa47e707001db8ed030e45bb,merkle,merkle_total_ms,161.898
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r4,b29ff65fcdcd675ee36c819b35cb1226e963a12dfa47e707001db8ed030e45bb,merkle,tree_localisation_ms,113.193
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r4,b29ff65fcdcd675ee36c819b35cb1226e963a12dfa47e707001db8ed030e45bb,merkle,candidate_row_fetch_ms,18.185
