run_id,method,paper_style_total_ms,restore_repair_ms,audit_validation_ms,end_to_end_observed_ms,cleanup_ms,paper_end_before_audit_start,audit_validation_positive,end_to_end_covers_paper_and_audit,full_audit_skipped,audit_validation_skipped
size-scaling-k75-c300-n5000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,229.235,229.235,34613.262,36520.885,0.151,1,1,1,0,0
size-scaling-k75-c300-n7000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,246.360,246.360,47489.294,49465.534,0.162,1,1,1,0,0
size-scaling-k75-c300-n7000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,226.532,226.532,47573.470,49529.006,0.141,1,1,1,0,0
size-scaling-k75-c300-n7000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,225.498,225.498,47693.454,49648.528,0.141,1,1,1,0,0
size-scaling-k75-c300-n7000000-f32-k75-c300-fanout_f32_l16-merkle-r3,merkle,225.686,225.686,47708.265,49663.700,0.141,1,1,1,0,0
size-scaling-k75-c300-n7000000-f32-k75-c300-fanout_f32_l16-merkle-r4,merkle,239.204,239.204,47582.352,49550.902,0.144,1,1,1,0,0
size-scaling-k75-c300-n7000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,233.526,233.526,47804.012,49766.281,0.147,1,1,1,0,0
size-scaling-k75-c300-n7000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,226.605,226.605,47570.248,49526.408,0.197,1,1,1,0,0
size-scaling-k75-c300-n7000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,240.134,240.134,47805.632,49775.523,0.144,1,1,1,0,0
size-scaling-k75-c300-n7000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,245.290,245.290,47483.309,49458.461,0.142,1,1,1,0,0
size-scaling-k75-c300-n7000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,227.668,227.668,47952.345,49909.228,0.145,1,1,1,0,0
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,171.332,171.332,8381.790,10334.739,0.149,1,1,1,0,0
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,170.953,170.953,8385.773,10337.553,0.145,1,1,1,0,0
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,173.073,173.073,8373.046,10327.574,0.160,1,1,1,0,0
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r3,merkle,171.988,171.988,8383.890,10337.475,0.146,1,1,1,0,0
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r4,merkle,171.027,171.027,8388.912,10341.923,0.150,1,1,1,0,0
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,170.682,170.682,8404.143,10356.176,0.145,1,1,1,0,0
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,182.734,182.734,8369.140,10333.496,0.144,1,1,1,0,0
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,171.927,171.927,8358.940,10311.501,0.147,1,1,1,0,0
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,172.998,172.998,8394.974,10349.688,0.148,1,1,1,0,0
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,171.784,171.784,8415.939,10369.214,0.146,1,1,1,0,0
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,225.521,225.521,99583.033,101539.012,0.147,1,1,1,0,0
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,226.941,226.941,100611.335,102571.408,0.147,1,1,1,0,0
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,226.166,226.166,100249.313,102207.241,0.167,1,1,1,0,0
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r3,merkle,238.592,238.592,100037.874,101956.403,0.147,1,1,1,0,0
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r4,merkle,228.062,228.062,99921.388,101880.076,0.148,1,1,1,0,0
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,238.573,238.573,99654.897,101573.636,0.146,1,1,1,0,0
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,232.244,232.244,100406.505,102318.391,0.150,1,1,1,0,0
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,226.977,226.977,99892.365,101850.347,0.146,1,1,1,0,0
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,227.125,227.125,99906.909,101864.830,0.148,1,1,1,0,0
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,243.156,243.156,99979.474,101902.893,0.149,1,1,1,0,0
size-scaling-k75-c300-n20000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,227.678,227.678,132464.234,134424.038,0.147,1,1,1,0,0
size-scaling-k75-c300-n20000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,246.879,246.879,132547.494,134474.457,0.194,1,1,1,0,0
size-scaling-k75-c300-n20000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,229.528,229.528,132837.174,134798.491,0.156,1,1,1,0,0
size-scaling-k75-c300-n20000000-f32-k75-c300-fanout_f32_l16-merkle-r3,merkle,228.561,228.561,132568.595,134528.053,0.146,1,1,1,0,0
