benchmark,mode,workload,warehouses,server_workers,bcdb_workers,pool_size,total_queries,wall_time_ms,tps,merkle_pass,divergence_count,permanent_failures,trial
tpcc,bcdb_det,tpcc-workload-20000-w20-seed42.txt,20,32,32,32,20000,19268.0,1037.99,1,0,0,3
tpcc,bcdb_det,tpcc-workload-20000-w30-seed42.txt,30,32,32,32,20000,4952.0,4038.77,1,0,0,3
tpcc,bcdb_det,tpcc-workload-20000-w50-seed42.txt,50,32,32,32,20000,4357.0,4590.31,1,0,0,3
tpcc,bcdb_det,tpcc-workload-20000-w75-seed42.txt,75,32,32,32,20000,4317.0,4632.85,1,0,0,3
tpcc,bcdb_det,tpcc-workload-20000-w100-seed42.txt,100,32,32,32,20000,12962.0,1542.97,1,0,0,3
tpcc,bcdb_merkle,tpcc-workload-20000-w5-seed42.txt,5,32,32,32,20000,27646.0,723.43,1,0,0,3
tpcc,bcdb_merkle,tpcc-workload-20000-w10-seed42.txt,10,32,32,32,20000,25296.0,790.64,1,0,0,3
tpcc,bcdb_merkle,tpcc-workload-20000-w20-seed42.txt,20,32,32,32,20000,27069.0,738.85,1,0,0,3
tpcc,bcdb_merkle,tpcc-workload-20000-w30-seed42.txt,30,32,32,32,20000,27361.0,730.97,1,0,0,3
tpcc,bcdb_merkle,tpcc-workload-20000-w50-seed42.txt,50,32,32,32,20000,58107.0,344.19,1,0,0,3
tpcc,bcdb_merkle,tpcc-workload-20000-w75-seed42.txt,75,32,32,32,20000,27878.0,717.41,1,0,0,3
tpcc,bcdb_merkle,tpcc-workload-20000-w100-seed42.txt,100,32,32,32,20000,72417.0,276.18,1,0,0,3
