run_id,manifest_sha256,method,phase,ms
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,targeted_post_repair_confirmation_ms,3.527
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,recovery_observability_ms,0.001
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,recovery_orchestration_ms,1.390
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,audit_exact_table_compare_ms,35646.685
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,audit_merkle_root_hash_ms,1.290
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,audit_merkle_verify_ms,30557.599
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,audit_schema_fidelity_ms,2.233
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,merkle_total_ms,69174.550
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,tree_localisation_ms,189.766
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,candidate_row_fetch_ms,16.589
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,row_comparison_ms,0.540
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,repair_sql_building_ms,0.552
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,repair_dml_wire_ms,17.804
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,repair_commit_wire_ms,8.851
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,repair_begin_wire_ms,0.113
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,repair_transaction_block_ms,27.374
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,repair_write_ms,27.378
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,targeted_post_repair_confirmation_ms,3.542
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,recovery_observability_ms,0.001
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,recovery_orchestration_ms,1.405
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,audit_exact_table_compare_ms,35538.552
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,audit_merkle_root_hash_ms,1.288
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,audit_merkle_verify_ms,30271.244
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,audit_schema_fidelity_ms,2.173
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,merkle_total_ms,68779.065
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r3,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,tree_localisation_ms,193.167
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r3,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,candidate_row_fetch_ms,16.807
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r3,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,row_comparison_ms,0.540
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r3,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,repair_sql_building_ms,0.554
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r3,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,repair_dml_wire_ms,17.604
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r3,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,repair_commit_wire_ms,8.927
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r3,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,repair_begin_wire_ms,0.113
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r3,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,repair_transaction_block_ms,27.255
