ts_utc,mode,db_type,workload,threads,run,rate,start_server_exit,restore_exit,py_exit,wall_time_s,workload_overall_ms,workload_wait_ms,duplicate_key_errors,db_row_count,db_root_hash,db_merkle_verify,workload_log,start_server_log,restore_log,notes
2026-02-14T17:48:07+00:00,det,1,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,12,2,800,0,0,0,7.705993,5844.392538070679,15.974245071411115,0,12595,e30d7e8fdfd40c0abbacf7f7a378bc73179b70e72651bc1d693adbbba045acdc,t,/work/ARIABC/AriaBC/scripts/bench_results/20260214_231534/mode=det/workload=ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k/threads=12/run=2/workload.out,/work/ARIABC/AriaBC/scripts/bench_results/20260214_231534/mode=det/workload=ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k/threads=12/run=2/start_server.out,/work/ARIABC/AriaBC/scripts/bench_results/20260214_231534/mode=det/workload=ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k/threads=12/run=2/restore.out,
2026-02-14T17:48:15+00:00,det,1,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,12,3,800,0,0,0,7.78152,5915.735721588135,11.95962905883788,0,12595,e30d7e8fdfd40c0abbacf7f7a378bc73179b70e72651bc1d693adbbba045acdc,t,/work/ARIABC/AriaBC/scripts/bench_results/20260214_231534/mode=det/workload=ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k/threads=12/run=3/workload.out,/work/ARIABC/AriaBC/scripts/bench_results/20260214_231534/mode=det/workload=ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k/threads=12/run=3/start_server.out,/work/ARIABC/AriaBC/scripts/bench_results/20260214_231534/mode=det/workload=ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k/threads=12/run=3/restore.out,
2026-02-14T17:48:24+00:00,det,1,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,16,1,800,0,0,0,8.610648,6746.577501296997,0.014276504516601589,0,12595,e30d7e8fdfd40c0abbacf7f7a378bc73179b70e72651bc1d693adbbba045acdc,t,/work/ARIABC/AriaBC/scripts/bench_results/20260214_231534/mode=det/workload=ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k/threads=16/run=1/workload.out,/work/ARIABC/AriaBC/scripts/bench_results/20260214_231534/mode=det/workload=ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k/threads=16/run=1/start_server.out,/work/ARIABC/AriaBC/scripts/bench_results/20260214_231534/mode=det/workload=ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k/threads=16/run=1/restore.out,
2026-02-14T17:48:33+00:00,det,1,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,16,2,800,0,0,0,8.619721,6748.317241668701,0.5924129486083984,0,12595,e30d7e8fdfd40c0abbacf7f7a378bc73179b70e72651bc1d693adbbba045acdc,t,/work/ARIABC/AriaBC/scripts/bench_results/20260214_231534/mode=det/workload=ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k/threads=16/run=2/workload.out,/work/ARIABC/AriaBC/scripts/bench_results/20260214_231534/mode=det/workload=ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k/threads=16/run=2/start_server.out,/work/ARIABC/AriaBC/scripts/bench_results/20260214_231534/mode=det/workload=ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k/threads=16/run=2/restore.out,
2026-02-14T17:48:42+00:00,det,1,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,16,3,800,0,0,0,8.659662,6802.010536193848,0.0047397613525390885,0,12595,e30d7e8fdfd40c0abbacf7f7a378bc73179b70e72651bc1d693adbbba045acdc,t,/work/ARIABC/AriaBC/scripts/bench_results/20260214_231534/mode=det/workload=ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k/threads=16/run=3/workload.out,/work/ARIABC/AriaBC/scripts/bench_results/20260214_231534/mode=det/workload=ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k/threads=16/run=3/start_server.out,/work/ARIABC/AriaBC/scripts/bench_results/20260214_231534/mode=det/workload=ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k/threads=16/run=3/restore.out,
2026-02-14T17:48:51+00:00,det,1,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,20,1,800,0,0,0,8.903583,7022.886276245117,0.0,0,12595,e30d7e8fdfd40c0abbacf7f7a378bc73179b70e72651bc1d693adbbba045acdc,t,/work/ARIABC/AriaBC/scripts/bench_results/20260214_231534/mode=det/workload=ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k/threads=20/run=1/workload.out,/work/ARIABC/AriaBC/scripts/bench_results/20260214_231534/mode=det/workload=ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k/threads=20/run=1/start_server.out,/work/ARIABC/AriaBC/scripts/bench_results/20260214_231534/mode=det/workload=ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k/threads=20/run=1/restore.out,
2026-02-14T17:49:00+00:00,det,1,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,20,2,800,0,0,0,8.935183,7062.459230422974,0.0,0,12595,e30d7e8fdfd40c0abbacf7f7a378bc73179b70e72651bc1d693adbbba045acdc,t,/work/ARIABC/AriaBC/scripts/bench_results/20260214_231534/mode=det/workload=ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k/threads=20/run=2/workload.out,/work/ARIABC/AriaBC/scripts/bench_results/20260214_231534/mode=det/workload=ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k/threads=20/run=2/start_server.out,/work/ARIABC/AriaBC/scripts/bench_results/20260214_231534/mode=det/workload=ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k/threads=20/run=2/restore.out,
2026-02-14T17:49:09+00:00,det,1,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,20,3,800,0,0,0,8.959312,7085.720539093018,0.0,0,12595,e30d7e8fdfd40c0abbacf7f7a378bc73179b70e72651bc1d693adbbba045acdc,t,/work/ARIABC/AriaBC/scripts/bench_results/20260214_231534/mode=det/workload=ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k/threads=20/run=3/workload.out,/work/ARIABC/AriaBC/scripts/bench_results/20260214_231534/mode=det/workload=ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k/threads=20/run=3/start_server.out,/work/ARIABC/AriaBC/scripts/bench_results/20260214_231534/mode=det/workload=ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k/threads=20/run=3/restore.out,
2026-02-14T17:49:18+00:00,det,1,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,24,1,800,0,0,0,9.239121,7370.393991470337,0.0,0,12595,e30d7e8fdfd40c0abbacf7f7a378bc73179b70e72651bc1d693adbbba045acdc,t,/work/ARIABC/AriaBC/scripts/bench_results/20260214_231534/mode=det/workload=ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k/threads=24/run=1/workload.out,/work/ARIABC/AriaBC/scripts/bench_results/20260214_231534/mode=det/workload=ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k/threads=24/run=1/start_server.out,/work/ARIABC/AriaBC/scripts/bench_results/20260214_231534/mode=det/workload=ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k/threads=24/run=1/restore.out,
2026-02-14T17:49:28+00:00,det,1,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,24,2,800,0,0,0,9.389158,7512.410402297974,0.0,0,12595,e30d7e8fdfd40c0abbacf7f7a378bc73179b70e72651bc1d693adbbba045acdc,t,/work/ARIABC/AriaBC/scripts/bench_results/20260214_231534/mode=det/workload=ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k/threads=24/run=2/workload.out,/work/ARIABC/AriaBC/scripts/bench_results/20260214_231534/mode=det/workload=ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k/threads=24/run=2/start_server.out,/work/ARIABC/AriaBC/scripts/bench_results/20260214_231534/mode=det/workload=ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k/threads=24/run=2/restore.out,
