mode,workload,threads,runs,pass_rate_merkle_verify,mean_wall_time_s,mean_workload_overall_ms,mean_workload_wait_ms,mean_duplicate_key_errors
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,32,3,1.000,6.617786,4723.605,8.616,0.000
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,36,3,1.000,6.628873,4743.578,4.399,0.000
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,40,3,1.000,6.663528,4744.917,0.832,0.000
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,44,3,1.000,6.720892,4821.120,1.375,0.000
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,48,3,1.000,6.872138,4800.930,1.141,0.000
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,52,3,1.000,7.459223,5301.793,0.887,0.000
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,56,3,1.000,7.422682,5401.315,1.282,0.000
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,60,3,1.000,7.540697,5503.735,0.909,0.000
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,64,3,1.000,7.382977,5284.876,0.492,0.000
nondet,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,1,3,1.000,37.275085,35121.893,13828.869,0.000
nondet,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,4,3,1.000,8.479857,6626.379,16078.311,0.333
nondet,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,8,3,1.000,6.205868,4305.264,2332.533,2.000
nondet,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,12,3,1.000,6.146867,4179.055,307.241,0.333
nondet,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,16,3,1.000,6.201045,4169.833,111.118,1.333
nondet,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,20,3,1.000,6.285260,4382.591,39.073,3.000
nondet,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,24,3,1.000,6.256754,4353.922,10.460,4.667
nondet,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,28,3,1.000,6.337504,4438.932,13.010,3.667
nondet,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,32,3,1.000,6.544010,4636.854,6.778,3.333
nondet,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,36,3,1.000,6.373447,4490.090,4.755,3.000
nondet,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,40,3,1.000,6.459454,4589.362,6.333,3.500
nondet,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,44,3,1.000,6.487519,4489.814,7.962,2.000
nondet,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,48,3,1.000,6.456022,4599.108,3.918,4.000
nondet,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,52,3,1.000,6.468546,,,
nondet,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,56,3,1.000,6.444029,4561.911,3.260,3.000
nondet,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,60,3,1.000,6.530285,4531.519,1.510,2.000
nondet,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,64,3,1.000,6.569035,4594.126,1.280,2.000
