mode,workload,threads,runs,pass_rate_merkle_verify,mean_wall_time_s,mean_workload_overall_ms,mean_workload_wait_ms,mean_duplicate_key_errors,mean_retries_total,mean_serialization_retries,mean_reconnects,mean_permanent_failures,max_retries_total,max_serialization_retries,max_reconnects,max_permanent_failures
det,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,48,3,1.000,8.651875,6983.547,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0
det,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,52,3,1.000,8.886834,7192.426,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0
det,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,56,3,1.000,8.822656,7124.415,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0
det,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,60,3,1.000,8.810412,7109.312,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0
det,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,64,3,1.000,8.774642,7114.455,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,1,3,1.000,61.700027,59971.213,18056.806,0.000,270.000,0.000,270.000,0.000,270,0,270,0
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,4,3,1.000,16.238200,14509.842,18618.870,0.000,268.000,0.000,268.000,0.000,269,0,269,0
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,8,3,1.000,9.036818,7308.370,18056.815,0.000,266.667,0.000,266.667,0.000,268,0,268,0
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,12,3,1.000,6.704020,4974.239,15440.343,0.000,266.000,1.333,264.667,0.000,269,2,267,0
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,16,3,1.000,5.876074,4146.308,7890.701,0.000,263.000,1.333,261.667,0.000,266,3,263,0
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,20,3,1.000,5.519314,3790.757,2517.088,0.000,259.667,0.000,259.667,0.000,261,0,261,0
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,24,3,1.000,5.428756,3698.919,634.503,0.000,259.000,1.000,258.000,0.000,260,2,260,0
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,28,3,1.000,5.429547,3697.126,181.252,0.000,256.000,0.333,255.667,0.000,256,1,256,0
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,32,3,1.000,5.492011,3757.204,53.117,0.000,257.000,1.333,255.667,0.000,263,2,261,0
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,36,3,1.000,5.608668,3872.318,15.782,0.000,254.000,2.333,251.667,0.000,255,4,254,0
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,40,3,1.000,5.663349,3933.193,4.431,0.000,250.333,0.667,249.667,0.000,251,1,251,0
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,44,3,1.000,5.662553,3924.857,3.027,0.000,247.333,0.000,247.333,0.000,249,0,249,0
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,48,3,1.000,5.678255,3943.356,3.618,0.000,247.333,0.333,247.000,0.000,250,1,250,0
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,52,3,1.000,5.709508,3965.128,3.403,0.000,243.000,0.667,242.333,0.000,246,2,244,0
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,56,3,1.000,5.706992,3970.733,2.981,0.000,240.000,0.000,240.000,0.000,241,0,241,0
