tx_idx,latency_ms
455,417.0238
456,417.0245
457,417.0249
458,417.0253
459,417.0267
460,417.0274
461,417.0281
462,417.0287
463,417.0294
464,417.0301
465,417.0305
466,417.0309
467,417.0312
468,417.0316
469,417.0323
470,417.0327
471,417.0330
472,417.0338
473,417.0341
474,417.0345
475,417.0352
476,417.0360
477,417.0363
478,417.0367
479,417.0370
480,417.0374
481,417.0377
482,417.0381
483,417.0390
484,417.0397
485,417.0401
486,417.0408
487,417.0416
488,417.0420
489,417.0424
490,417.0431
491,417.0434
492,417.0438
493,417.0442
494,417.0445
495,417.0453
496,417.0460
497,417.0467
498,417.0471
499,417.0476
500,417.0479
501,417.0487
502,417.0494
503,417.0501
504,417.0505
505,417.0512
506,417.0516
507,417.0520
508,417.0523
509,417.0527
510,417.0531
511,417.0538
512,416.6635
513,416.6645
514,416.6654
515,416.6659
516,416.6663
517,416.6668
518,416.6671
519,416.6675
520,416.6683
521,416.6686
522,416.6694
523,416.6701
524,416.6705
525,416.6713
526,416.6716
527,416.6720
528,416.6723
529,416.6727
530,416.6731
531,416.6738
532,416.6746
533,416.6753
534,416.6757
535,416.6766
536,416.6769
537,416.6777
538,416.6784
539,416.6791
540,416.6800
541,416.6806
542,416.6813
543,416.6821
544,416.6828
545,416.6832
546,416.6836
547,416.6843
548,416.6851
549,416.6855
550,416.6858
551,416.6865
552,416.6869
553,416.6873
554,416.6876
555,416.6883
556,416.6891
557,416.6899
558,416.6906
559,416.6910
560,416.6917
561,416.6921
562,416.6928
563,416.6935
564,416.6939
565,416.6946
566,416.6950
567,416.6957
568,416.6961
569,416.6964
570,416.6971
571,416.6975
572,416.6982
573,416.6990
574,416.6993
575,416.6997
576,416.7004
577,416.7012
578,416.7019
579,416.7023
580,416.7030
581,416.7041
582,416.7048
583,416.7052
584,416.7059
585,416.7066
586,416.7070
587,416.7079
588,416.7082
589,416.7090
590,416.7097
591,416.7101
592,416.7104
593,416.7108
594,416.7116
595,416.7123
596,416.7127
597,416.7131
598,416.7139
599,416.7143
600,416.7147
601,416.7151
602,416.7155
603,416.7162
604,416.7169
605,416.7173
606,416.7180
607,416.7184
608,416.7188
609,416.7191
610,416.7195
611,416.7199
612,416.7206
613,416.7213
614,416.7221
615,416.7224
616,416.7232
617,416.7235
618,416.7239
619,416.7243
620,416.7246
621,416.7250
622,416.7254
623,416.7257
624,416.7265
625,416.7268
626,416.7276
627,416.7283
628,416.7287
629,416.7294
630,416.7298
631,416.7305
632,416.7313
633,416.7320
634,416.7327
635,416.7331
636,416.7335
637,416.7338
638,416.7351
639,416.7355
640,416.7362
641,416.7367
642,416.7374
643,416.7378
644,416.7381
645,416.7385
646,416.7392
647,416.7396
648,416.7401
649,416.7408
650,416.7415
651,416.7427
652,416.7434
653,416.7438
654,416.7445
655,416.7449
656,416.7452
657,416.7459
658,416.7463
659,416.7467
660,416.7470
661,416.7477
662,416.7481
663,416.7485
664,416.7492
665,416.7499
666,416.7507
667,416.7510
668,416.7518
669,416.7526
670,416.7533
671,416.7536
672,416.7540
673,416.7544
674,416.7551
675,416.7558
676,416.7562
677,416.7570
678,416.7577
679,416.7581
680,416.7589
681,416.7596
682,416.7599
683,416.7603
684,416.7607
685,416.7614
686,416.7621
687,416.7629
688,416.7636
689,416.7644
690,416.7647
691,416.7654
692,416.7658
693,416.7662
694,416.7679
695,416.7687
696,416.7690
697,416.7697
698,416.7701
699,416.7708
700,416.7712
701,416.7718
702,416.7726
703,416.7738
704,416.7751
705,416.7755
706,416.7762
707,416.7765
708,416.7769
709,416.7776
710,416.7783
711,416.7791
712,416.7794
713,416.7802
714,416.7809
715,416.7812
716,416.7822
717,416.7829
718,416.7833
719,416.7840
720,416.7844
721,416.7847
722,416.7854
723,416.7863
724,416.7867
725,416.7874
726,416.7881
727,416.7889
728,416.7896
729,416.7899
730,416.7907
731,416.7914
732,416.7918
733,416.7922
734,416.7929
735,416.7933
736,416.7940
737,416.7943
738,416.7952
739,416.7955
740,416.7962
741,416.7966
742,416.7970
743,416.7977
744,416.7981
745,416.7984
746,416.7988
747,416.7995
748,416.7999
749,416.8003
750,416.8006
751,416.8010
752,416.8013
753,416.8017
754,416.8021
755,416.8028
756,416.8035
757,416.8039
758,416.8043
759,416.8047
760,416.8055
761,416.8059
762,416.8066
763,416.8070
764,416.8073
765,416.8081
766,416.8084
767,416.8091
768,416.4122
769,416.4215
770,416.4220
771,416.4234
772,416.4242
773,416.4251
774,416.4254
775,416.4258
776,416.4262
777,416.4266
778,416.4269
779,416.4277
780,416.4281
781,416.4285
782,416.4292
783,416.4301
784,416.4309
785,416.4312
786,416.4316
787,416.4320
788,416.4324
789,416.4327
790,416.4336
791,416.4344
792,416.4347
793,416.4355
794,416.4362
795,416.4370
796,416.4380
797,416.4383
798,416.4391
799,416.4404
800,416.4414
801,416.4418
802,416.4425
803,416.4436
804,416.4443
805,416.4450
806,416.4464
807,416.4472
808,416.4479
809,416.4483
810,416.4497
811,416.4502
812,416.4507
813,416.4514
814,416.4522
815,416.4526
816,416.4533
817,416.4536
818,416.4540
819,416.4543
820,416.4551
821,416.4554
822,416.4559
823,416.4567
824,416.4579
825,416.4587
826,416.4594
827,416.4601
828,416.4609
829,416.4616
830,416.4624
831,416.4631
832,416.4636
833,416.4640
834,416.4644
835,416.4648
836,416.4655
837,416.4663
838,416.4670
839,416.4674
840,416.4682
841,416.4685
842,416.4693
843,416.4700
844,416.4703
845,416.4711
846,416.4714
847,416.4718
848,416.4722
849,416.4725
850,416.4729
851,416.4737
852,416.4745
853,416.4753
854,416.4760
855,416.4764
856,416.4767
857,416.4771
858,416.4778
859,416.4782
860,416.4789
861,416.4792
862,416.4796
863,416.4806
864,416.4809
865,416.4817
866,416.4820
867,416.4828
