tx_idx,latency_ms
0,417.2264
1,417.2256
2,417.2271
3,417.2232
4,417.2284
5,417.2290
6,417.2296
7,417.2276
8,417.2313
9,417.2304
10,417.2331
11,417.2307
12,417.2319
13,417.2325
14,417.2344
15,417.2334
16,417.2338
17,417.2353
18,417.2367
19,417.2347
20,417.2361
21,417.2356
22,417.2391
23,417.2370
24,417.2378
25,417.2384
26,417.2399
27,417.2416
28,417.2409
29,417.2393
30,417.2403
31,417.2431
32,417.2419
33,417.2423
34,417.2426
35,417.2434
36,417.2438
37,417.2447
38,417.2464
39,417.2441
40,417.2458
41,417.2450
42,417.2467
43,417.2483
44,417.2470
45,417.2477
46,417.2495
47,417.2504
48,417.2486
49,417.2489
50,417.2498
51,417.2507
52,417.2513
53,417.2528
54,417.2522
55,417.2534
56,417.2516
57,417.2552
58,417.2537
59,417.2540
60,417.2546
61,417.2555
62,417.2559
63,417.2583
64,417.2565
65,417.2571
66,417.2577
67,417.2592
68,417.2602
69,417.2586
70,417.2608
71,417.2596
72,417.2624
73,417.2612
74,417.2615
75,417.2618
76,417.2627
77,417.2630
78,417.2642
79,417.2633
80,417.2636
81,417.2648
82,417.2669
83,417.2663
84,417.2657
85,417.2651
86,417.2681
87,417.2687
88,417.2672
89,417.2675
90,417.2693
91,417.2711
92,417.2699
93,417.2705
94,417.2721
95,417.2714
96,417.2730
97,417.2736
98,417.2724
99,417.2743
100,417.2750
101,417.2756
102,417.2762
103,417.2768
104,417.2777
105,417.2783
106,417.2789
107,417.2771
108,417.2801
109,417.2807
110,417.2792
111,417.2795
112,417.2819
113,417.2828
114,417.2810
115,417.2813
116,417.2822
117,417.2831
118,417.2834
119,417.2857
120,417.2843
121,417.2849
122,417.2837
123,417.2874
124,417.2860
125,417.2863
126,417.2866
127,417.2878
128,417.2882
129,417.2902
130,417.2896
131,417.2890
132,417.2886
133,417.2917
134,417.2905
135,417.2908
136,417.2911
137,417.2920
138,417.2929
139,417.2941
140,417.2923
141,417.2935
142,417.2953
143,417.2945
144,417.2965
145,417.2971
146,417.2956
147,417.2959
148,417.2987
149,417.2975
150,417.2978
151,417.2981
152,417.2990
153,417.2993
154,417.3000
155,417.3020
156,417.3006
157,417.3013
158,417.3033
159,417.3044
160,417.3023
161,417.3027
162,417.3036
163,417.3060
164,417.3048
165,417.3051
166,417.3054
167,417.3070
168,417.3064
169,417.3077
170,417.3084
171,417.3107
172,417.3100
173,417.3087
174,417.3120
175,417.3110
176,417.3127
177,417.3114
178,417.3133
179,417.3139
180,417.3152
181,417.3158
182,417.3142
183,417.3146
184,417.3162
185,417.3165
186,417.3184
187,417.3168
188,417.3178
189,417.3200
190,417.3187
191,417.3190
192,417.3193
193,417.3209
194,417.3223
195,417.3203
196,417.3217
197,417.3236
198,417.3245
199,417.3230
200,417.3227
201,417.3239
202,417.3341
203,417.3260
204,417.3249
205,417.3254
206,417.3348
207,417.3353
208,417.3358
209,417.3363
210,417.3368
211,417.3373
212,417.3398
213,417.3387
214,417.3410
215,417.3378
216,417.3429
217,417.3420
218,417.3444
219,417.3454
220,417.3464
221,417.3434
222,417.3484
223,417.3494
224,417.3469
225,417.3475
226,417.3501
227,417.3522
228,417.3509
229,417.3516
230,417.3532
231,417.3526
232,417.3541
233,417.3547
234,417.3556
235,417.3535
236,417.3550
237,417.3562
238,417.3581
239,417.3587
240,417.3575
241,417.3596
242,417.3602
243,417.3608
244,417.3590
245,417.3620
246,417.3611
247,417.3614
248,417.3629
249,417.3623
250,417.3638
251,417.3644
252,417.3632
253,417.3661
254,417.7439
255,417.3648
256,416.7645
257,417.1423
258,417.1443
259,417.1455
260,417.1449
261,417.1436
262,417.1471
263,417.1458
264,417.1485
265,417.1462
266,417.1474
267,417.1477
268,417.1499
269,417.1489
270,417.1493
271,417.1505
272,417.1512
273,417.1519
274,417.1527
275,417.1535
276,417.1549
277,417.1557
278,417.1565
279,417.1539
280,417.1568
281,417.1590
282,417.1571
283,417.1577
284,417.1584
285,417.1593
286,417.1613
287,417.1596
288,417.1607
289,417.1600
290,417.1629
291,417.1619
292,417.1616
293,417.1623
294,417.1632
295,417.1654
296,417.1645
297,417.1635
298,417.1639
299,417.1667
300,417.1674
301,417.1658
302,417.1661
303,417.1680
304,417.1686
305,417.1693
306,417.1705
307,417.1718
308,417.1727
309,417.1708
310,417.1711
311,417.1721
312,417.1740
313,417.1749
314,417.1730
315,417.1734
316,417.1743
317,417.1763
318,417.1753
319,417.1773
320,417.1756
321,417.1779
322,417.1766
323,417.1800
324,417.1793
325,417.1783
326,417.1787
327,417.1806
328,417.1830
329,417.1817
330,417.1823
331,417.1809
332,417.1833
333,417.1836
334,417.1867
335,417.1851
336,417.1845
