tx_idx,latency_ms
0,417.9233
1,417.9275
2,417.9244
3,417.9205
4,417.9253
5,417.9261
6,417.9268
7,417.9216
8,417.9294
9,417.9282
10,417.9311
11,417.9286
12,417.9330
13,417.9337
14,417.9344
15,417.9297
16,417.9304
17,417.9322
18,417.9359
19,417.9315
20,417.9402
21,417.9347
22,417.9381
23,417.9352
24,417.9366
25,417.9374
26,417.9388
27,417.9395
28,417.9428
29,417.9406
30,417.9410
31,417.9443
32,417.9414
33,417.9417
34,417.9421
35,417.9433
36,417.9436
37,417.9464
38,417.9471
39,417.9447
40,417.9483
41,417.9450
42,417.9454
43,417.9490
44,417.9457
45,417.9476
46,417.9512
47,417.9519
48,417.9494
49,417.9497
50,417.9501
51,417.9504
52,417.9545
53,417.9537
54,417.9563
55,417.9570
56,417.9522
57,417.9556
58,417.9526
59,417.9530
60,417.9581
61,417.9548
62,417.9573
63,417.9607
64,417.9592
65,417.9614
66,417.9600
67,417.9622
68,417.9643
69,417.9584
70,417.9651
71,417.9625
72,417.9670
73,417.9629
74,417.9633
75,417.9636
76,417.9654
77,417.9658
78,417.9686
79,417.9661
80,417.9673
81,417.9697
82,417.9704
83,417.9711
84,417.9718
85,417.9678
86,417.9729
87,417.9736
88,417.9689
89,417.9722
90,417.9747
91,417.9754
92,417.9761
93,417.9768
94,417.9793
95,417.9740
96,417.9779
97,417.9786
98,417.9772
99,417.9802
100,417.9821
101,417.9812
102,417.9841
103,417.9851
104,417.9834
105,417.9859
106,417.9882
107,417.9825
108,417.9889
109,417.9873
110,417.9862
111,417.9866
112,417.9904
113,417.9897
114,417.9908
115,417.9912
116,417.9915
117,417.9919
118,417.9923
119,417.9947
120,417.9970
121,417.9954
122,417.9927
123,417.9963
124,417.9935
125,417.9931
126,417.9939
127,417.9979
128,417.9974
129,418.0004
130,418.0017
131,417.9982
132,417.9986
133,418.0025
134,417.9990
135,417.9997
136,417.9994
137,418.0008
138,418.0041
139,418.0062
140,418.0029
141,418.0070
142,418.0078
143,418.0034
144,418.0085
145,418.0053
146,418.0045
147,418.0089
148,418.0115
149,418.0092
150,418.0097
151,418.0108
152,418.0100
153,418.0104
154,418.0130
155,418.0137
156,418.0149
157,418.0156
158,418.0163
159,418.0173
160,418.0119
161,418.0122
162,418.0141
163,418.0198
164,418.0177
165,418.0182
166,418.0185
167,418.0225
168,418.0189
169,418.0209
170,418.0218
171,418.0252
172,418.0259
173,418.0202
174,418.0245
175,418.0229
176,418.0275
177,418.0234
178,418.0282
179,418.0298
180,418.0401
181,418.0307
182,418.0264
183,418.0268
184,418.0286
185,418.0290
186,418.0429
187,418.0407
188,418.0410
189,418.0447
190,418.0414
191,418.0418
192,418.0422
193,418.0440
194,418.0466
195,418.0433
196,418.0491
197,418.0475
198,418.0482
199,418.0452
200,418.0456
201,418.0459
202,418.0520
203,418.0531
204,418.0495
205,418.0499
206,418.0502
207,418.0506
208,418.0509
209,418.0513
210,418.0524
