tx_idx,latency_ms
0,418.5271
1,418.5244
2,418.5297
3,418.5176
4,418.5228
5,418.5213
6,418.5221
7,418.5187
8,418.5253
9,418.5196
10,418.5260
11,418.5201
12,418.5278
13,418.5304
14,418.5285
15,418.5204
16,418.5289
17,418.5334
18,418.5345
19,418.5308
20,418.5367
21,418.5312
22,418.5374
23,418.5315
24,418.5352
25,418.5389
26,418.5360
27,418.5397
28,418.5381
29,418.5319
30,418.5323
31,418.5418
32,418.5327
33,418.5338
34,418.5400
35,418.5404
36,418.5407
37,418.5501
38,418.5457
39,418.5411
40,418.5471
41,418.5423
42,418.5426
43,418.5479
44,418.5430
45,418.5435
46,418.5486
47,418.5493
48,418.5439
49,418.5443
50,418.5446
51,418.5450
52,418.5464
53,418.5536
54,418.5528
55,418.5591
56,418.5504
57,418.5547
58,418.5508
59,418.5513
60,418.5561
61,418.5516
62,418.5521
63,418.5569
64,418.5576
65,418.5583
66,418.5554
67,418.5645
68,418.5628
69,418.5539
70,418.5638
71,418.5594
72,418.5656
73,418.5598
74,418.5603
75,418.5606
76,418.5610
77,418.5613
78,418.5685
79,418.5617
80,418.5621
81,418.5670
82,418.5678
83,418.5699
84,418.5706
85,418.5649
86,418.5713
87,418.5721
88,418.5660
89,418.5663
90,418.5728
91,418.5750
92,418.5735
93,418.5742
94,418.5757
95,418.5688
96,418.5764
97,418.5785
98,418.5692
99,418.5793
100,418.5808
101,418.5816
102,418.5848
103,418.5826
104,418.5833
105,418.5840
106,418.5900
107,418.5769
108,418.5876
109,418.5883
110,418.5774
111,418.5777
112,418.5868
113,418.5891
114,418.5797
115,418.5801
116,418.5851
117,418.5855
118,418.5859
119,418.5919
120,418.5911
121,418.5926
122,418.5904
123,418.6069
124,418.5931
125,418.5934
126,418.5938
127,418.5953
128,418.5947
129,418.6061
130,418.5982
131,418.5957
132,418.5960
133,418.6096
134,418.5964
135,418.5968
136,418.5971
137,418.5975
138,418.6138
139,418.6146
140,418.6073
141,418.6153
142,418.6161
143,418.6078
144,418.6123
145,418.6131
146,418.6081
147,418.6086
148,418.6168
149,418.6099
150,418.6103
151,418.6107
152,418.6111
153,418.6114
154,418.6201
155,418.6231
156,418.6239
157,418.6249
158,418.6256
159,418.6265
160,418.6172
161,418.6175
162,418.6179
163,418.6212
164,418.6183
165,418.6186
166,418.6190
167,418.6220
168,418.6194
169,418.6297
170,418.6309
171,418.6353
172,418.6360
173,418.6269
174,418.6368
175,418.6273
176,418.6316
177,418.6277
178,418.6324
179,418.6331
180,418.6338
181,418.6346
182,418.6281
183,418.6285
184,418.6288
185,418.6301
186,418.6410
187,418.6371
188,418.6375
189,418.6430
190,418.6379
191,418.6382
192,418.6386
193,418.6452
194,418.6459
195,418.6390
196,418.6422
197,418.6466
198,418.6490
199,418.6394
200,418.6399
201,418.6402
202,418.6475
203,418.6482
204,418.6413
205,418.6433
206,418.6437
207,418.6441
208,418.6444
209,418.6493
210,418.6497
211,418.6500
212,418.6529
213,418.6537
214,418.6544
215,418.6504
216,418.6551
217,418.6509
218,418.6558
219,418.6580
220,418.6587
221,418.6513
222,418.6607
223,418.6637
224,418.6517
225,418.6522
226,418.6573
227,418.6595
228,418.6615
229,418.6622
230,418.6629
231,418.6598
232,418.6685
233,418.6693
234,418.6700
235,418.6640
236,418.6648
237,418.6707
238,418.6714
239,418.6729
240,418.6661
241,418.6722
242,418.6669
243,418.6677
244,418.6652
245,418.6767
246,418.6734
247,418.6737
248,418.6784
249,418.6741
250,419.1659
251,419.1668
252,418.6746
253,419.1676
254,419.1683
255,418.6749
256,418.0444
257,418.0449
258,418.5405
259,418.5415
260,418.5425
261,418.0461
262,418.5433
263,418.0465
264,418.5440
265,418.5378
266,418.5383
267,418.5386
268,418.5447
269,418.5391
270,418.5396
271,418.5496
272,418.5471
273,418.5480
274,418.5489
275,418.5512
276,418.5519
277,418.5527
278,418.5536
279,418.5451
280,418.5456
281,418.5559
282,418.5460
283,418.5566
284,418.5573
285,418.5463
286,418.5580
287,418.5504
288,418.5588
289,418.5501
290,418.5611
291,418.5540
292,418.5543
293,418.5547
294,418.5550
295,418.5618
296,418.5625
