run_id,method,paper_style_total_ms,restore_repair_ms,audit_validation_ms,end_to_end_observed_ms,cleanup_ms,paper_end_before_audit_start,audit_validation_positive,end_to_end_covers_paper_and_audit,full_audit_skipped,audit_validation_skipped
size-scaling-k75-c300-n5000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,206.287,206.287,33761.073,33968.111,0.137,1,1,1,0,0
size-scaling-k75-c300-n7000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,220.496,220.496,46820.258,47051.771,0.136,1,1,1,0,0
size-scaling-k75-c300-n7000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,180.124,180.124,47031.294,47212.047,0.138,1,1,1,0,0
size-scaling-k75-c300-n7000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,216.688,216.688,47105.950,47323.392,0.148,1,1,1,0,0
size-scaling-k75-c300-n7000000-f32-k75-c300-fanout_f32_l16-merkle-r3,merkle,133.122,133.122,46811.712,46945.245,0.135,1,1,1,0,0
size-scaling-k75-c300-n7000000-f32-k75-c300-fanout_f32_l16-merkle-r4,merkle,132.838,132.838,46905.339,47038.591,0.134,1,1,1,0,0
size-scaling-k75-c300-n7000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,133.701,133.701,46855.194,46989.317,0.135,1,1,1,0,0
size-scaling-k75-c300-n7000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,133.743,133.743,47196.475,47330.654,0.151,1,1,1,0,0
size-scaling-k75-c300-n7000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,140.448,140.448,47105.193,47246.060,0.137,1,1,1,0,0
size-scaling-k75-c300-n7000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,133.889,133.889,46931.330,47065.627,0.135,1,1,1,0,0
size-scaling-k75-c300-n7000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,124.791,124.791,46761.396,46886.619,0.135,1,1,1,0,0
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,167.915,167.915,7327.002,7495.670,0.137,1,1,1,0,0
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,92.355,92.355,7341.594,7434.378,0.134,1,1,1,0,0
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,108.065,108.065,7333.554,7442.251,0.137,1,1,1,0,0
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r3,merkle,108.916,108.916,7361.076,7470.630,0.136,1,1,1,0,0
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r4,merkle,147.907,147.907,7324.523,7473.233,0.147,1,1,1,0,0
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,150.815,150.815,7381.965,7533.585,0.135,1,1,1,0,0
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,152.425,152.425,7346.884,7500.095,0.135,1,1,1,0,0
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,165.919,165.919,7384.417,7551.128,0.136,1,1,1,0,0
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,160.675,160.675,7348.982,7510.457,0.132,1,1,1,0,0
size-scaling-k75-c300-n1000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,159.776,159.776,7360.415,7520.988,0.132,1,1,1,0,0
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,199.781,199.781,98958.216,99168.951,0.137,1,1,1,0,0
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,137.385,137.385,99026.855,99164.660,0.136,1,1,1,0,0
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,163.906,163.906,98906.271,99070.698,0.151,1,1,1,0,0
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r3,merkle,139.154,139.154,99206.353,99345.915,0.136,1,1,1,0,0
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r4,merkle,128.881,128.881,99299.323,99428.621,0.133,1,1,1,0,0
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,141.074,141.074,99219.825,99361.384,0.135,1,1,1,0,0
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,164.538,164.538,99229.882,99394.910,0.137,1,1,1,0,0
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,137.860,137.860,99363.991,99502.268,0.134,1,1,1,0,0
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,147.961,147.961,99414.669,99563.057,0.134,1,1,1,0,0
size-scaling-k75-c300-n15000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,137.836,137.836,99486.468,99624.800,0.137,1,1,1,0,0
size-scaling-k75-c300-n20000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,224.282,224.282,132724.419,132949.498,0.137,1,1,1,0,0
size-scaling-k75-c300-n20000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,139.624,139.624,132734.996,132875.037,0.139,1,1,1,0,0
size-scaling-k75-c300-n20000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,136.632,136.632,132634.003,132771.065,0.139,1,1,1,0,0
size-scaling-k75-c300-n20000000-f32-k75-c300-fanout_f32_l16-merkle-r3,merkle,131.074,131.074,132620.987,132752.529,0.136,1,1,1,0,0
size-scaling-k75-c300-n20000000-f32-k75-c300-fanout_f32_l16-merkle-r4,merkle,131.392,131.392,132447.000,132578.818,0.137,1,1,1,0,0
size-scaling-k75-c300-n20000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,140.007,140.007,132547.175,132687.608,0.138,1,1,1,0,0
size-scaling-k75-c300-n20000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,138.881,138.881,134596.478,134735.798,0.151,1,1,1,0,0
size-scaling-k75-c300-n20000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,137.339,137.339,132785.960,132923.729,0.139,1,1,1,0,0
size-scaling-k75-c300-n20000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,131.180,131.180,132762.692,132894.296,0.138,1,1,1,0,0
size-scaling-k75-c300-n20000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,147.057,147.057,132380.891,132528.374,0.138,1,1,1,0,0
size-scaling-k75-c300-n25000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,228.250,228.250,164993.582,165232.887,0.134,1,1,1,0,0
size-scaling-k75-c300-n25000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,206.281,206.281,164889.969,165097.008,0.132,1,1,1,0,0
size-scaling-k75-c300-n25000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,135.899,135.899,164746.211,164882.559,0.150,1,1,1,0,0
size-scaling-k75-c300-n25000000-f32-k75-c300-fanout_f32_l16-merkle-r3,merkle,206.301,206.301,165080.379,165287.438,0.134,1,1,1,0,0
size-scaling-k75-c300-n25000000-f32-k75-c300-fanout_f32_l16-merkle-r4,merkle,138.802,138.802,165011.512,165150.765,0.140,1,1,1,0,0
size-scaling-k75-c300-n25000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,136.270,136.270,164917.669,165054.387,0.134,1,1,1,0,0
size-scaling-k75-c300-n25000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,188.590,188.590,165007.186,165196.434,0.134,1,1,1,0,0
size-scaling-k75-c300-n25000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,134.888,134.888,167054.991,167190.305,0.134,1,1,1,0,0
size-scaling-k75-c300-n25000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,234.176,234.176,165574.201,165809.196,0.134,1,1,1,0,0
size-scaling-k75-c300-n25000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,139.702,139.702,165249.874,165390.002,0.133,1,1,1,0,0
size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,181.155,181.155,20734.387,20916.338,0.133,1,1,1,0,0
size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,197.581,197.581,20827.113,21025.515,0.137,1,1,1,0,0
size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,186.514,186.514,20795.730,20983.044,0.144,1,1,1,0,0
size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r3,merkle,192.604,192.604,20778.113,20971.487,0.135,1,1,1,0,0
size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r4,merkle,179.570,179.570,20764.123,20944.464,0.134,1,1,1,0,0
size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,122.133,122.133,20707.471,20830.199,0.134,1,1,1,0,0
size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,107.980,107.980,20736.046,20844.604,0.150,1,1,1,0,0
size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,120.799,120.799,20753.264,20874.638,0.133,1,1,1,0,0
size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,123.780,123.780,20763.236,20887.626,0.136,1,1,1,0,0
size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,151.923,151.923,20739.454,20892.189,0.135,1,1,1,0,0
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,237.538,237.538,197925.127,198173.765,0.136,1,1,1,0,0
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,138.412,138.412,201440.972,201579.834,0.135,1,1,1,0,0
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,137.726,137.726,198684.214,198822.461,0.135,1,1,1,0,0
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r3,merkle,138.292,138.292,197645.902,197784.648,0.138,1,1,1,0,0
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r4,merkle,138.291,138.291,197950.662,198089.408,0.136,1,1,1,0,0
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,134.550,134.550,197757.758,197892.802,0.147,1,1,1,0,0
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,140.017,140.017,197522.446,197662.941,0.153,1,1,1,0,0
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,139.345,139.345,197624.835,197764.630,0.134,1,1,1,0,0
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,208.460,208.460,227076.664,227285.884,0.137,1,1,1,0,0
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,137.791,137.791,235141.670,235279.913,0.137,1,1,1,0,0
