audit_merkle_root_hash_calls,audit_merkle_verify_calls,audit_mode,audit_user_table_seq_scan_delta,audit_validation_ms,audit_validation_positive,audit_validation_skipped,bad_leaf_count,bad_partition_count,batch_plan_actual_k_index_used,candidate_fetch_batches,candidate_fetch_sql_calls,candidate_leaf_buckets_requested,candidate_rows_fetched,candidate_rows_fetched_alias,child_hash_nodes_read,child_hash_sql_calls,cleanup_ms,confirmation_fetch_batches,confirmation_fetch_sql_calls,confirmation_leaf_buckets_requested,confirmation_rows_fetched,corrupted_tuple_count,corruption_mode,damaged_candidate_rows,end_to_end_covers_paper_and_audit,end_to_end_observed_ms,experiment,fanout,full_audit_skipped,healthy_candidate_rows,leaf_fetch_chunk_size,leaf_lookup_sql_calls,leaf_nodes_found,localisation_index_stats_available,localisation_index_stats_error,localisation_stats_flush_wait_ms,localisation_stats_probe_ms,manifest_sha256,mean_rows_per_bad_leaf,merge_threshold,method,p95_rows_per_bad_leaf,paper_end_before_audit_start,paper_style_total_ms,paper_total_ms,partition_root_batches,partition_root_batches_ok,partition_root_hash_sql_calls,partition_root_nodes_read,partition_subtree_nodes_read,partition_subtree_sql_calls,planner_checked_leaf_count,planner_checks_passed,profile_label,profiling_mode,recovery_only_ms,recovery_user_table_seq_scan_delta,repetition,restore_repair_ms,rows_deleted,rows_inserted,rows_updated,run_id,schema_fidelity_ok,selected_bad_leaf_row_capacity,split_threshold,targeted_confirmation_root_batches,targeted_confirmation_root_nodes_read,total_candidate_rows,total_ms,total_rows_repaired,tree_nodes_visited,tuple_count,valid,warning
2,2,full,6,327839.94073057175,1,0,75,67,1,4,4,150,1214,1214,13888,6,0.137,0,0,0,0,300,mixed,607,1,327970.404,size-scaling-k75-c300,32,0,607,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,7c4c52f1226c6c45d7f21ec5f540205a1b7e9dcac0f887b1f8992d4a6b0be68c,16.186666666666667,8,merkle,25.0,1,118.732,118.732,1,1,2,400,13888,6,75,1,fanout_f32_l16,off,118.732,0,0,118.732,100,100,100,size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r0,1,607,32,1,134,1214,327970.404,300,6944,50000000,1,
2,2,full,6,327622.85526561737,1,0,75,67,1,4,4,150,1214,1214,13888,6,0.136,0,0,0,0,300,mixed,607,1,327767.752,size-scaling-k75-c300,32,0,607,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,7c4c52f1226c6c45d7f21ec5f540205a1b7e9dcac0f887b1f8992d4a6b0be68c,16.186666666666667,8,merkle,25.0,1,133.561,133.561,1,1,2,400,13888,6,75,1,fanout_f32_l16,off,133.561,0,1,133.561,100,100,100,size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r1,1,607,32,1,134,1214,327767.752,300,6944,50000000,1,
2,2,full,6,326779.9946117401,1,0,75,67,1,4,4,150,1214,1214,13888,6,0.136,0,0,0,0,300,mixed,607,1,326963.600,size-scaling-k75-c300,32,0,607,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,7c4c52f1226c6c45d7f21ec5f540205a1b7e9dcac0f887b1f8992d4a6b0be68c,16.186666666666667,8,merkle,25.0,1,172.218,172.218,1,1,2,400,13888,6,75,1,fanout_f32_l16,off,172.218,0,2,172.218,100,100,100,size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r2,1,607,32,1,134,1214,326963.600,300,6944,50000000,1,
2,2,full,6,328112.5424013138,1,0,75,67,1,4,4,150,1214,1214,13888,6,0.147,0,0,0,0,300,mixed,607,1,328316.308,size-scaling-k75-c300,32,0,607,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,7c4c52f1226c6c45d7f21ec5f540205a1b7e9dcac0f887b1f8992d4a6b0be68c,16.186666666666667,8,merkle,25.0,1,192.122,192.122,1,1,2,400,13888,6,75,1,fanout_f32_l16,off,192.122,0,3,192.122,100,100,100,size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r3,1,607,32,1,134,1214,328316.308,300,6944,50000000,1,
2,2,full,6,327643.5200662613,1,0,75,67,1,4,4,150,1214,1214,13888,6,0.151,0,0,0,0,300,mixed,607,1,327786.315,size-scaling-k75-c300,32,0,607,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,7c4c52f1226c6c45d7f21ec5f540205a1b7e9dcac0f887b1f8992d4a6b0be68c,16.186666666666667,8,merkle,25.0,1,131.474,131.474,1,1,2,400,13888,6,75,1,fanout_f32_l16,off,131.474,0,4,131.474,100,100,100,size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r4,1,607,32,1,134,1214,327786.315,300,6944,50000000,1,
2,2,full,6,327840.1516084671,1,0,75,67,1,4,4,150,1214,1214,13888,6,0.135,0,0,0,0,300,mixed,607,1,328093.529,size-scaling-k75-c300,32,0,607,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,7c4c52f1226c6c45d7f21ec5f540205a1b7e9dcac0f887b1f8992d4a6b0be68c,16.186666666666667,8,merkle,25.0,1,241.382,241.382,1,1,2,400,13888,6,75,1,fanout_f32_l16,off,241.382,0,5,241.382,100,100,100,size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r5,1,607,32,1,134,1214,328093.529,300,6944,50000000,1,
2,2,full,6,327597.67748594284,1,0,75,67,1,4,4,150,1214,1214,13888,6,0.132,0,0,0,0,300,mixed,607,1,327769.557,size-scaling-k75-c300,32,0,607,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,7c4c52f1226c6c45d7f21ec5f540205a1b7e9dcac0f887b1f8992d4a6b0be68c,16.186666666666667,8,merkle,25.0,1,160.645,160.645,1,1,2,400,13888,6,75,1,fanout_f32_l16,off,160.645,0,6,160.645,100,100,100,size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r6,1,607,32,1,134,1214,327769.557,300,6944,50000000,1,
2,2,full,6,328033.577334404,1,0,75,67,1,4,4,150,1214,1214,13888,6,0.134,0,0,0,0,300,mixed,607,1,328188.968,size-scaling-k75-c300,32,0,607,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,7c4c52f1226c6c45d7f21ec5f540205a1b7e9dcac0f887b1f8992d4a6b0be68c,16.186666666666667,8,merkle,25.0,1,144.161,144.161,1,1,2,400,13888,6,75,1,fanout_f32_l16,off,144.161,0,7,144.161,100,100,100,size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r7,1,607,32,1,134,1214,328188.968,300,6944,50000000,1,
2,2,full,6,327750.43113946915,1,0,75,67,1,4,4,150,1214,1214,13888,6,0.135,0,0,0,0,300,mixed,607,1,327923.771,size-scaling-k75-c300,32,0,607,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,7c4c52f1226c6c45d7f21ec5f540205a1b7e9dcac0f887b1f8992d4a6b0be68c,16.186666666666667,8,merkle,25.0,1,161.974,161.974,1,1,2,400,13888,6,75,1,fanout_f32_l16,off,161.974,0,8,161.974,100,100,100,size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r8,1,607,32,1,134,1214,327923.771,300,6944,50000000,1,
2,2,full,6,327245.698513031,1,0,75,67,1,4,4,150,1214,1214,13888,6,0.137,0,0,0,0,300,mixed,607,1,327398.174,size-scaling-k75-c300,32,0,607,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,7c4c52f1226c6c45d7f21ec5f540205a1b7e9dcac0f887b1f8992d4a6b0be68c,16.186666666666667,8,merkle,25.0,1,141.142,141.142,1,1,2,400,13888,6,75,1,fanout_f32_l16,off,141.142,0,9,141.142,100,100,100,size-scaling-k75-c300-n50000000-f32-k75-c300-fanout_f32_l16-merkle-r9,1,607,32,1,134,1214,327398.174,300,6944,50000000,1,
