run_id,manifest_sha256,method,phase,ms
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,targeted_post_repair_confirmation_ms,4.353
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,recovery_observability_ms,0.002
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,recovery_orchestration_ms,2.414
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,audit_exact_table_compare_ms,35770.545
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,audit_merkle_root_hash_ms,1.294
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,audit_merkle_verify_ms,30244.280
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,audit_schema_fidelity_ms,2.174
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r1,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,merkle_total_ms,66294.250
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,tree_localisation_ms,146.077
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,candidate_row_fetch_ms,11.478
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,row_comparison_ms,0.424
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,repair_sql_building_ms,0.439
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,repair_dml_wire_ms,14.036
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,repair_commit_wire_ms,9.274
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,repair_begin_wire_ms,0.090
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,repair_transaction_block_ms,23.882
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,repair_write_ms,23.885
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,targeted_post_repair_confirmation_ms,2.898
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,recovery_observability_ms,0.001
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,recovery_orchestration_ms,1.988
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,audit_exact_table_compare_ms,35551.935
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,audit_merkle_root_hash_ms,1.312
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,audit_merkle_verify_ms,30520.016
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,audit_schema_fidelity_ms,2.190
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r2,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,merkle_total_ms,66274.343
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r3,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,tree_localisation_ms,110.993
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r3,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,candidate_row_fetch_ms,7.394
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r3,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,row_comparison_ms,0.222
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r3,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,repair_sql_building_ms,0.221
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r3,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,repair_dml_wire_ms,7.490
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r3,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,repair_commit_wire_ms,6.496
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r3,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,repair_begin_wire_ms,0.053
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r3,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,repair_transaction_block_ms,14.285
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r3,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,repair_write_ms,14.287
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r3,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,targeted_post_repair_confirmation_ms,1.668
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r3,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,recovery_observability_ms,0.001
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r3,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,recovery_orchestration_ms,1.361
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r3,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,audit_exact_table_compare_ms,35628.129
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r3,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,audit_merkle_root_hash_ms,1.211
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r3,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,audit_merkle_verify_ms,30235.862
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r3,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,audit_schema_fidelity_ms,2.052
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r3,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,merkle_total_ms,66014.825
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r4,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,tree_localisation_ms,109.637
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r4,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,candidate_row_fetch_ms,7.411
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r4,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,row_comparison_ms,0.228
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r4,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,repair_sql_building_ms,0.231
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r4,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,repair_dml_wire_ms,7.458
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r4,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,repair_commit_wire_ms,6.515
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r4,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,repair_begin_wire_ms,0.058
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r4,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,repair_transaction_block_ms,14.287
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r4,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,repair_write_ms,14.289
