mode,workload,server_workers,bcdb_workers,pool_size,total_queries,wall_time_ms,tps,merkle_pass,divergence_count,permanent_failures,run_id,shared_buffers,source_fingerprint,trial
pg,ycsb_workload_d_skew_1_20_20k.txt,4,1,4,20000,733,27285.13,1,0,0,single_a6f58794a07749acb6f8300b35ebeb53,32MB,bca6daed9b4548f4272d753402fd18992f457320befed0497d4cc835115221d0,1
bcdb_merkle,ycsb_workload_d_skew_1_20_20k.txt,4,4,4,20000,1161,17226.53,1,0,0,single_9f51fc1985404a1db3cea4cca80ff6ce,32MB,bca6daed9b4548f4272d753402fd18992f457320befed0497d4cc835115221d0,1
